timeframe,strategy,atr_sl,rr,score,trades,return_pct,max_dd_pct,profit_factor,win_rate
H4,cci_100_cross+HTF_EMA55,2.0,2.0,3.380488764323073,102,29.5,5.88,1.437,0.422
M1,keltner_break+HTF_EMA55,2.5,3.0,3.374854452435544,128,51.7,15.01,1.462,0.336
D1,macd_hist_turn+HTF_EMA55,2.5,2.5,3.3740498267557797,66,27.12,9.15,1.546,0.394
D1,macd_cross+HTF_EMA55,2.5,2.5,3.3740498267557797,66,27.12,9.15,1.546,0.394
M15,volume_spike_break,2.0,2.0,3.372638028293697,111,33.31,8.73,1.466,0.423
M15,di_cross+HTF_EMA55,2.0,2.0,3.3570449311243764,102,33.43,10.52,1.499,0.431
H3,rsi_trend_pullback,2.5,3.0,3.351480847527944,62,23.2,6.79,1.529,0.339
M1,adx_donchian_20_strict,2.5,3.0,3.35040936906288,145,49.83,12.4,1.406,0.324
M3,adx_donchian_20_strict+HTF_EMA55,2.5,2.5,3.3481842800611212,41,15.47,5.93,1.57,0.39
D1,ema_50_200,2.0,2.0,3.3472713924559314,18,5.96,3.03,1.579,0.444
M15,keltner_break,2.5,2.5,3.346273900557094,91,30.56,8.89,1.496,0.374
H2,adx_donchian_20_strict+HTF_EMA55,2.5,3.0,3.3444616842162262,117,38.99,7.73,1.394,0.325
H1,aroon_cross_25+HTF_EMA55,2.5,2.5,3.3348807868320303,149,41.04,7.3,1.351,0.356
D1,psar_flip+HTF_EMA55,2.5,2.5,3.3314222926114856,70,26.43,8.23,1.511,0.386
M5,adx_donchian_55+HTF_EMA55,2.5,3.0,3.3236051103141198,179,58.2,14.5,1.363,0.318
H2,adx_donchian_20_strict,2.5,2.5,3.3235967146799075,141,42.59,8.47,1.357,0.362
H3,rsi_trend_pullback,2.5,2.5,3.306164591942283,81,25.64,5.93,1.452,0.37
H2,adx_donchian_55+HTF_EMA55,2.5,2.5,3.304946207251624,126,44.28,12.73,1.435,0.373
M15,keltner_break+HTF_EMA55,2.5,2.5,3.300895621888629,84,26.21,6.1,1.448,0.369
D1,di_cross+HTF_EMA55,2.5,3.0,3.29319438327444,58,23.28,7.07,1.504,0.345
H3,ema_12_26+HTF_EMA55,2.0,2.0,3.293119802010208,107,30.73,7.75,1.428,0.421
H1,bb_breakout,2.5,3.0,3.2837983489377813,335,81.13,19.51,1.244,0.299
D1,donchian_10,2.5,3.0,3.2806477084003465,95,31.4,6.79,1.415,0.326
D1,ema_50_200,2.5,3.0,3.275263581413379,17,6.91,4.96,1.604,0.353
M1,adx_donchian_20_strict,2.5,2.5,3.268004239592193,153,45.23,10.95,1.366,0.359
M5,adx_donchian_55,2.5,3.0,3.263203890576784,187,58.02,15.36,1.356,0.316
M15,donchian_55+HTF_EMA55,2.5,2.5,3.2595997549733022,85,29.37,10.13,1.495,0.376
H1,aroon_cross_25+HTF_EMA55,2.5,3.0,3.2570707210034024,144,39.82,6.85,1.323,0.312
D1,ema_12_26+HTF_EMA55,2.0,2.0,3.2540286705550168,48,15.55,5.85,1.508,0.438
M15,triple_ema_pullback,2.5,3.0,3.2480428786121793,46,18.7,9.67,1.592,0.348
M3,psar_flip,2.5,2.5,3.247682316832847,56,18.15,4.9,1.471,0.375
M15,donchian_55,2.5,2.5,3.2471247130258076,85,29.37,10.13,1.489,0.376
M1,ichimoku_tk_cross,2.5,3.0,3.24348277076958,113,39.08,10.68,1.416,0.327
H2,adx_donchian_55,2.5,2.5,3.2404176605218864,127,42.84,12.73,1.417,0.37
M5,ema_9_21+HTF_EMA55,2.5,3.0,3.2403110587679014,180,50.54,11.57,1.326,0.311
H2,sma_50_200,2.5,3.0,3.240038842393314,43,17.58,7.73,1.55,0.349
D1,ema_9_21+HTF_EMA55,2.0,2.0,3.237768514751546,60,18.91,5.99,1.471,0.433
M30,donchian_20,2.5,3.0,3.2353864887167414,44,16.41,5.96,1.517,0.341
H1,supertrend_flip,2.5,2.5,3.2336023592074215,281,61.03,12.55,1.236,0.338
M3,williams_r_reversal+HTF_EMA55,2.5,2.5,3.2305307255848144,35,14.41,10.47,1.633,0.4
H1,ema_50_200,2.5,3.0,3.230236082595758,102,32.57,6.85,1.38,0.324
H1,adx_rising_break_20,2.0,2.0,3.23006742131194,436,82.85,19.98,1.19,0.383
D1,sma_50_200+HTF_EMA55,2.5,2.5,3.229702237024172,13,4.4,2.97,1.549,0.385
H3,aroon_cross_25,2.5,2.5,3.226660613086217,76,27.6,10.21,1.497,0.382
H1,sma_50_200,2.5,2.5,3.222176793931859,106,33.59,9.56,1.422,0.368
M1,adx_donchian_20_strict+HTF_EMA55,2.5,2.5,3.2182003450427534,148,47.5,13.75,1.387,0.365
M30,volume_spike_break,2.0,2.0,3.2046807424285984,59,16.57,4.93,1.454,0.424
H1,adx_rising_break_20+HTF_EMA55,2.5,3.0,3.2042673601395233,279,62.18,13.28,1.238,0.297
M1,adx_donchian_20,2.5,3.0,3.1989368962471625,173,49.21,10.99,1.304,0.312
M5,ichimoku_tk_cross+HTF_EMA55,2.0,2.0,3.1927852336992286,342,60.56,12.67,1.212,0.383
H2,sma_50_200+HTF_EMA55,2.5,3.0,3.1875692141989824,40,16.48,8.65,1.558,0.35
H1,adx_donchian_55+HTF_EMA55,2.0,2.0,3.186632699302956,341,62.19,13.99,1.225,0.384
M15,keltner_break,2.5,3.0,3.1838157683328,74,22.99,5.24,1.412,0.324
M1,adx_rising_break_20+HTF_EMA55,2.5,3.0,3.181648874587251,144,57.46,19.65,1.424,0.333
H1,sma_50_200+HTF_EMA55,2.5,2.5,3.1803094590548895,100,32.37,9.56,1.413,0.37
M15,triple_ema_pullback+HTF_EMA55,2.5,3.0,3.16976916854696,47,17.51,8.76,1.544,0.34
M3,di_cross+HTF_EMA55,2.0,2.0,3.1671485113975772,56,16.61,5.88,1.457,0.429
M15,di_cross+HTF_EMA55,2.5,2.5,3.1656930607003555,59,18.69,6.87,1.475,0.373
D1,supertrend_flip,2.5,2.5,3.157152971812345,62,19.24,5.85,1.44,0.371
M1,adx_rising_break_20,2.0,2.0,3.1560176402703872,295,59.72,13.38,1.218,0.39
H1,supertrend_flip,2.5,3.0,3.1535972603403644,222,52.6,12.97,1.3,0.302
H2,sma_50_200+HTF_EMA55,2.0,2.0,3.152191466090409,41,13.35,6.79,1.503,0.439
M3,ichimoku_tk_cross+HTF_EMA55,2.5,3.0,3.149820117632449,38,14.23,7.73,1.54,0.342
M5,bb_breakout+HTF_EMA55,2.5,3.0,3.147355946200219,269,59.23,13.13,1.235,0.297
D1,rsi50_cross+HTF_EMA55,2.5,2.5,3.131962107789396,73,22.68,6.79,1.417,0.37
H4,aroon_cross_25,2.0,2.0,3.131719033212017,71,19.96,7.81,1.456,0.423
H3,sma_50_200+HTF_EMA55,2.5,3.0,3.1291107461023726,26,9.98,8.65,1.594,0.346
M3,adx_donchian_20_strict,2.5,3.0,3.1248588489183904,39,13.08,5.01,1.474,0.333
H3,sma_50_200+HTF_EMA55,2.5,2.5,3.12314456644537,26,8.99,7.73,1.569,0.385
M15,volume_spike_break+HTF_EMA55,2.0,2.0,3.1230534011999245,104,26.93,8.73,1.407,0.413
H2,ema_9_21+HTF_EMA55,2.0,2.0,3.1212706689490037,155,34.06,7.78,1.315,0.4
M30,volume_spike_break,2.5,3.0,3.118105285576214,35,13.15,7.78,1.536,0.343
